Nº NF-e/RPS,Série,Status,Data Emissão,Natureza da Operação,Dados do Destinatário,CPF/CNPJ,Valor Total,Chave DANFE
845,1,Emitida,30/05/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"62,7",28180510177060000138650010000008451679665666
846,1,Emitida,30/05/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"91,3",28180510177060000138650010000008461215500240
847,1,Emitida,30/05/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"35,15",28180510177060000138650010000008471250631507
848,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"45,7",28180610177060000138650010000008481813557023
849,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"49,2",28180610177060000138650010000008491653600560
850,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"48,1",28180610177060000138650010000008501777455503
851,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"113,94",28180610177060000138650010000008511687734974
852,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"49,7",28180610177060000138650010000008521161148537
853,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,94,28180610177060000138650010000008531367890775
854,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"117,78",28180610177060000138650010000008541749834898
855,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"77,14",28180610177060000138650010000008551714646405
856,1,Emitida,01/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"479,94",28180610177060000138650010000008561179974667
857,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"165,95",28180610177060000138650010000008571347852516
858,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"136,6",28180610177060000138650010000008581786562439
859,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"70,53",28180610177060000138650010000008591743753485
860,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"113,84",28180610177060000138650010000008601922477610
861,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"29,3",28180610177060000138650010000008611606366461
862,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"113,74",28180610177060000138650010000008621009269587
863,1,Emitida,02/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"41,58",28180610177060000138650010000008631458066435
864,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"119,94",28180610177060000138650010000008641916948720
865,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"89,84",28180610177060000138650010000008651608732375
866,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"84,6",28180610177060000138650010000008661019720817
867,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"165,96",28180610177060000138650010000008671444955185
868,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"254,94",28180610177060000138650010000008681884551039
869,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"63,05",28180610177060000138650010000008691584077070
870,1,Emitida,04/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"98,06",28180610177060000138650010000008701957700312
871,1,Emitida,05/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"209,42",28180610177060000138650010000008711508960683
872,1,Emitida,05/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"271,4",28180610177060000138650010000008721107220252
873,1,Emitida,05/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"84,8",28180610177060000138650010000008731423274313
874,1,Emitida,05/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"175,78",28180610177060000138650010000008741944581440
875,1,Emitida,05/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"87,4",28180610177060000138650010000008751519404280
876,1,Emitida,05/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"76,36",28180610177060000138650010000008761109593802
877,1,Emitida,06/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"134,5",28180610177060000138650010000008771417753050
878,1,Emitida,06/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"50,5",28180610177060000138650010000008781981987209
879,1,Emitida,06/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"62,8",28180610177060000138650010000008791548823804
880,1,Emitida,06/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"221,53",28180610177060000138650010000008801448410592
881,1,Emitida,06/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"95,34",28180610177060000138650010000008811023079060
882,1,Emitida,07/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"144,12",28180610177060000138650010000008821612123001
883,1,Emitida,07/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"121,15",28180610177060000138650010000008831920371747
884,1,Emitida,07/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,180,28180610177060000138650010000008841458458414
885,1,Emitida,07/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"65,12",28180610177060000138650010000008851009869228
886,1,Emitida,07/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"173,48",28180610177060000138650010000008861606937514
887,1,Emitida,07/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"87,31",28180610177060000138650010000008871922898156
888,1,Emitida,08/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"145,17",28180610177060000138650010000008881484645420
889,1,Emitida,08/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"104,06",28180610177060000138650010000008891043676690
890,1,Emitida,08/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"122,52",28180610177060000138650010000008901421233220
891,1,Emitida,08/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"56,7",28180610177060000138650010000008911112927283
892,1,Emitida,08/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,84",28180610177060000138650010000008921522705377
893,1,Emitida,08/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"60,6",28180610177060000138650010000008931948093993
894,1,Emitida,09/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"71,6",28180610177060000138650010000008941423752037
895,1,Emitida,09/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,52,28180610177060000138650010000008951107734170
896,1,Emitida,09/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"89,4",28180610177060000138650010000008961509503153
897,1,Emitida,09/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"168,91",28180610177060000138650010000008971958149435
898,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"111,52",28180610177060000138650010000008981394766879
899,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"151,7",28180610177060000138650010000008991070884687
900,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"275,91",28180610177060000138650010000009001733372169
901,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,120,28180610177060000138650010000009011799625402
902,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"116,45",28180610177060000138650010000009021335437257
903,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"71,2",28180610177060000138650010000009031136555460
904,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"61,22",28180610177060000138650010000009041735883348
905,1,Emitida,11/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"43,29",28180610177060000138650010000009051794424688
906,1,Emitida,12/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"121,7",28180610177060000138650010000009061322212170
907,1,Emitida,12/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,135,28180610177060000138650010000009071146588050
908,1,Emitida,12/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,4",28180610177060000138650010000009081706890578
909,1,Emitida,12/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"99,01",28180610177060000138650010000009091757567593
910,1,Emitida,12/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"127,5",28180610177060000138650010000009101635694079
911,1,Emitida,12/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"56,92",28180610177060000138650010000009111834632941
912,1,Emitida,13/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"173,91",28180610177060000138650010000009121299999196
913,1,Emitida,13/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"220,68",28180610177060000138650010000009131233688734
914,1,Emitida,13/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,145,28180610177060000138650010000009141645734269
915,1,Emitida,13/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"119,11",28180610177060000138650010000009151821415490
916,1,Emitida,13/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"104,44",28180610177060000138650010000009161294790840
917,1,Emitida,14/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"205,69",28180610177060000138650010000009171236192291
918,1,Emitida,14/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,180,28180610177060000138650010000009181671913662
919,1,Emitida,14/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"69,99",28180610177060000138650010000009191855215353
920,1,Emitida,14/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"120,5",28180610177060000138650010000009201537471055
921,1,Emitida,14/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"121,22",28180610177060000138650010000009211994071251
922,1,Emitida,14/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"76,98",28180610177060000138650010000009221405021723
923,1,Emitida,15/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"154,15",28180610177060000138650010000009231065500490
924,1,Emitida,15/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"64,3",28180610177060000138650010000009241556678661
925,1,Emitida,15/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,92",28180610177060000138650010000009251974109686
926,1,Emitida,15/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"81,45",28180610177060000138650010000009261377051030
927,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"105,94",28180610177060000138650010000009271092244768
928,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"139,26",28180610177060000138650010000009281527144858
929,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"54,7",28180610177060000138650010000009291936833479
930,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"62,18",28180610177060000138650010000009301565191521
931,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"34,7",28180610177060000138650010000009311904655646
932,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,15",28180610177060000138650010000009321494867913
933,1,Emitida,16/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"117,33",28180610177060000138650010000009331038324918
934,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"157,82",28180610177060000138650010000009341591928152
935,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,75,28180610177060000138650010000009351876677341
936,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,33,28180610177060000138650010000009361474913960
937,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,90,28180610177060000138650010000009371057540166
938,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"111,2",28180610177060000138650010000009381616469155
939,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"106,66",28180610177060000138650010000009391909204594
940,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,10,28180610177060000138650010000009401872426905
941,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"56,9",28180610177060000138650010000009411657881242
942,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"63,94",28180610177060000138650010000009421193441492
943,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"50,05",28180610177060000138650010000009431275358600
944,1,Emitida,18/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"74,56",28180610177060000138650010000009441846536129
945,1,Emitida,19/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"83,05",28180610177060000138650010000009451686461565
946,1,Emitida,19/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,180,28180610177060000138650010000009461214500416
947,1,Emitida,19/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"59,03",28180610177060000138650010000009471257492196
948,1,Emitida,19/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"160,85",28180610177060000138650010000009481816454115
949,1,Emitida,19/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"52,2",28180610177060000138650010000009491648759080
950,1,Emitida,19/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"101,4",28180610177060000138650010000009501774504835
951,1,Emitida,20/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"170,59",28180610177060000138650010000009511692644819
952,1,Emitida,20/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"221,7",28180610177060000138650010000009521158247401
953,1,Emitida,20/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"43,3",28180610177060000138650010000009531372735842
954,1,Emitida,20/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"113,31",28180610177060000138650010000009541756630785
955,1,Emitida,20/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"57,2",28180610177060000138650010000009551713696102
956,1,Emitida,20/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,44,28180610177060000138650010000009561186835346
957,1,Emitida,21/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"121,27",28180610177060000138650010000009571346852704
958,1,Emitida,21/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"139,55",28180610177060000138650010000009581781720945
959,1,Emitida,21/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"73,49",28180610177060000138650010000009591746650585
960,1,Emitida,21/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"126,96",28180610177060000138650010000009601927322912
961,1,Emitida,21/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"127,97",28180610177060000138650010000009611603465553
962,1,Emitida,22/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"240,44",28180610177060000138650010000009621014179677
963,1,Emitida,22/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"176,08",28180610177060000138650010000009631455116003
964,1,Emitida,22/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,99,28180610177060000138650010000009641915949124
965,1,Emitida,22/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"52,37",28180610177060000138650010000009651615593291
966,1,Emitida,22/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"140,02",28180610177060000138650010000009661018770760
967,1,Emitida,22/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"157,24",28180610177060000138650010000009671451751331
968,1,Emitida,23/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"168,63",28180610177060000138650010000009681887505513
969,1,Emitida,23/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"74,2",28180610177060000138650010000009691579163422
970,1,Emitida,23/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"46,6",28180610177060000138650010000009701954799410
971,1,Emitida,23/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,5,28180610177060000138650010000009711513805971
972,1,Emitida,23/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"181,08",28180610177060000138650010000009721104269833
973,1,Emitida,23/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"30,07",28180610177060000138650010000009731428184407
974,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"118,18",28180610177060000138650010000009741951442359
975,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"55,75",28180610177060000138650010000009751518404699
976,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"69,2",28180610177060000138650010000009761116389943
977,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"94,9",28180610177060000138650010000009771416803009
978,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"68,3",28180610177060000138650010000009781977073554
979,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"78,68",28180610177060000138650010000009791551778291
980,1,Emitida,25/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"106,7",28180610177060000138650010000009801449410419
981,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"219,28",28180610177060000138650010000009811016218373
982,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,420,28180610177060000138650010000009821613073305
983,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"100,3",28180610177060000138650010000009831913575834
984,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"145,07",28180610177060000138650010000009841453613336
985,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"53,88",28180610177060000138650010000009851012770356
986,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"96,05",28180610177060000138650010000009861602027675
987,1,Emitida,26/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"112,58",28180610177060000138650010000009871925848830
988,1,Emitida,27/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"97,86",28180610177060000138650010000009881491437760
989,1,Emitida,27/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"125,4",28180610177060000138650010000009891042730467
990,1,Emitida,27/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"63,7",28180610177060000138650010000009901414372541
991,1,Emitida,27/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"73,89",28180610177060000138650010000009911113927100
992,1,Emitida,27/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"31,5",28180610177060000138650010000009921515909472
993,1,Emitida,27/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"91,43",28180610177060000138650010000009931949044290
994,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"144,9",28180610177060000138650010000009941426653159
995,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"148,1",28180610177060000138650010000009951102889103
996,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"325,5",28180610177060000138650010000009961512453825
997,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"88,26",28180610177060000138650010000009971953239601
998,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,3,28180610177060000138650010000009981393820620
999,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"101,73",28180610177060000138650010000009991077677038
1000,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"203,73",28180610177060000138650010000010001807648931
1001,1,Emitida,28/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"85,86",28180610177060000138650010000010011718018000
1002,1,Emitida,29/06/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"86,38",28180610177060000138650010000010021128976077
1003,1,Emitida,29/06/2018,Venda dentro do estado,Ao Consumidor,,"97,99",28180610177060000138650010000010031335685989
1004,1,Emitida,29/06/2018,Venda dentro do estado,Ao Consumidor,,"94,88",28180610177060000138650010000010041782010113
1005,1,Emitida,29/06/2018,Venda dentro do estado,Ao Consumidor,,"169,27",28180610177060000138650010000010051746850279
1006,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"73,04",28180610177060000138650010000010061149783994
1007,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"42,6",28180610177060000138650010000010071317568568
1008,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"86,12",28180610177060000138650010000010081756370344
1009,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"85,54",28180610177060000138650010000010091713468102
1010,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"37,9",28180610177060000138650010000010101835373204
1011,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"87,27",28180610177060000138650010000010111628598593
1012,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"33,9",28180610177060000138650010000010121218818450
1013,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,589,28180610177060000138650010000010131308514229
1014,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,90,28180610177060000138650010000010141817263418
1015,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"65,84",28180610177060000138650010000010151649414121
1016,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"154,73",28180610177060000138650010000010161247643107
1017,1,Emitida,30/06/2018,Venda dentro do estado,Ao Consumidor,,"54,4",28180610177060000138650010000010171282867781
1018,1,Emitida,02/07/2018,Venda dentro do estado,Ao Consumidor,,"221,82",28180710177060000138650010000010181845698469
1019,1,Emitida,02/07/2018,Venda dentro do estado,Ao Consumidor,,255,28180710177060000138650010000010191685835410
1020,1,Emitida,02/07/2018,Venda dentro do estado,Ao Consumidor,,"119,76",28180710177060000138650010000010201987954765
1021,1,Emitida,02/07/2018,Venda dentro do estado,Ao Consumidor,,"160,49",28180710177060000138650010000010211539182685
1022,1,Emitida,02/07/2018,Venda dentro do estado,Ao Consumidor,,"143,75",28180710177060000138650010000010221074986890
1023,1,Emitida,02/07/2018,Venda dentro do estado,Ao Consumidor,,"181,07",28180710177060000138650010000010231391130438
1024,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,"158,06",28180710177060000138650010000010241976817698
1025,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,"201,04",28180710177060000138650010000010251551547123
1026,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,165,28180710177060000138650010000010261079342230
1027,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,"74,5",28180710177060000138650010000010271387530000
1028,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,"109,16",28180710177060000138650010000010281951734216
1029,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,"43,1",28180710177060000138650010000010291518599321
1030,1,Emitida,03/07/2018,Venda dentro do estado,Ao Consumidor,,17,28180710177060000138650010000010301890272852
1031,1,Emitida,04/07/2018,Venda dentro do estado,Ao Consumidor,,"171,08",28180710177060000138650010000010311574194038
1032,1,Emitida,04/07/2018,Venda dentro do estado,Ao Consumidor,,"227,4",28180710177060000138650010000010321039552649
1033,1,Emitida,04/07/2018,Venda dentro do estado,Ao Consumidor,,"63,3",28180710177060000138650010000010331488259890
1034,1,Emitida,04/07/2018,Venda dentro do estado,Ao Consumidor,,"199,7",28180710177060000138650010000010341886664805
1035,1,Emitida,04/07/2018,Venda dentro do estado,Ao Consumidor,,"178,61",28180710177060000138650010000010351578541742
1036,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,"94,79",28180710177060000138650010000010361051924703
1037,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,42,28180710177060000138650010000010371477130431
1038,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,210,28180710177060000138650010000010381916753494
1039,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,"114,14",28180710177060000138650010000010391616250893
1040,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,"38,73",28180710177060000138650010000010401668846267
1041,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,"113,6",28180710177060000138650010000010411860014247
1042,1,Emitida,05/07/2018,Venda dentro do estado,Ao Consumidor,,"105,2",28180710177060000138650010000010421270720710
1043,1,Emitida,06/07/2018,Venda dentro do estado,Ao Consumidor,,"184,83",28180710177060000138650010000010431196631736
1044,1,Emitida,06/07/2018,Venda dentro do estado,Ao Consumidor,,"87,47",28180710177060000138650010000010441671105506
1045,1,Emitida,06/07/2018,Venda dentro do estado,Ao Consumidor,,150,28180710177060000138650010000010451854561559
1046,1,Emitida,06/07/2018,Venda dentro do estado,Ao Consumidor,,45,28180710177060000138650010000010461257746637
1047,1,Emitida,06/07/2018,Venda dentro do estado,Ao Consumidor,,"190,87",28180710177060000138650010000010471206915307
1048,1,Emitida,07/07/2018,Venda dentro do estado,Ao Consumidor,,"136,59",28180710177060000138650010000010481646571166
1049,1,Emitida,07/07/2018,Venda dentro do estado,Ao Consumidor,,"149,71",28180710177060000138650010000010491822040978
1050,1,Emitida,07/07/2018,Venda dentro do estado,Ao Consumidor,,"128,66",28180710177060000138650010000010501696326570
1051,1,Emitida,07/07/2018,Venda dentro do estado,Ao Consumidor,,"106,46",28180710177060000138650010000010511770350856
1052,1,Emitida,07/07/2018,Venda dentro do estado,Ao Consumidor,,"28,61",28180710177060000138650010000010521360807071
1053,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"143,75",28180710177060000138650010000010531169703949
1054,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"135,6",28180710177060000138650010000010541706602531
1055,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"173,7",28180710177060000138650010000010551757369149
1056,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"155,69",28180710177060000138650010000010561355362015
1057,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"233,86",28180710177060000138650010000010571171970788
1058,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"134,25",28180710177060000138650010000010581736143020
1059,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"57,5",28180710177060000138650010000010591794652028
1060,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"87,9",28180710177060000138650010000010601598339720
1061,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"114,44",28180710177060000138650010000010611930025202
1062,1,Emitida,09/07/2018,Venda dentro do estado,Ao Consumidor,,"321,8",28180710177060000138650010000010621465593060
1063,1,Emitida,10/07/2018,Venda dentro do estado,Ao Consumidor,,"96,2",28180710177060000138650010000010631001279054
1064,1,Emitida,10/07/2018,Venda dentro do estado,Ao Consumidor,,240,28180710177060000138650010000010641617310647
1065,1,Emitida,10/07/2018,Venda dentro do estado,Ao Consumidor,,"137,32",28180710177060000138650010000010651909826926
1066,1,Processando,10/07/2018,Venda dentro do estado,Ao Consumidor,,"172,95",28180710177060000138650010000010661437858142
1067,1,Contingência,10/07/2018,Venda dentro do estado,Ao Consumidor,,"164,45",28180710177060000138650010000010671028259061
1068,1,Contingência,10/07/2018,Venda dentro do estado,Ao Consumidor,,"164,45",28180710177060000138650010000010681591122660
1069,1,Emitida,11/07/2018,Venda dentro do estado,Ao Consumidor,,"51,7",28180710177060000138650010000010691876018485
1070,1,Emitida,11/07/2018,Venda dentro do estado,Ao Consumidor,,"154,15",28180710177060000138650010000010701500413850
1071,1,Emitida,11/07/2018,Venda dentro do estado,Ao Consumidor,,"121,63",28180710177060000138650010000010711964792580
1072,1,Emitida,11/07/2018,Venda dentro do estado,Ao Consumidor,,"183,14",28180710177060000138650010000010721430402787
1073,1,Emitida,11/07/2018,Venda dentro do estado,Ao Consumidor,,240,28180710177060000138650010000010731098652479
1074,1,Emitida,11/07/2018,Venda dentro do estado,Ao Consumidor,,"113,3",28180710177060000138650010000010741527401496
